Timestamp,Ngp,Npt,HPC_ASV_Command,HPC_ASV_Position,HPC_Surge_Margin,HPC_ASC_Flow_DP,HPC_Suction_Press,HPC_Discharge_Press
2024-05-08 00:53:00+00:00,95.4126,85.1405,89.5899,89.7988,12.4406,80.6949,104.4475,266.1936
2024-05-08 00:54:00+00:00,95.486,85.2006,89.5251,89.4503,13.6829,82.3914,104.7416,266.4704
2024-05-08 00:55:00+00:00,95.6244,85.393,90.9588,90.8962,14.7545,84.3204,104.5853,266.9191
2024-05-08 00:56:00+00:00,95.4474,85.2958,91.5563,91.4801,12.3683,81.4485,103.79,266.7968
2024-05-08 00:57:00+00:00,95.321,85.1721,89.7005,89.9071,11.5463,79.6661,104.0345,266.0015
2024-05-08 00:58:00+00:00,95.3584,85.1471,88.6468,88.6793,11.9949,79.8167,104.6642,266.0526
2024-05-08 00:59:00+00:00,95.577,85.4608,89.8031,89.7948,13.7599,83.06,104.5859,267.2283
2024-05-08 01:00:00+00:00,95.497,85.5183,91.1328,91.0653,12.8378,82.2793,103.9803,267.4359
2024-05-08 01:01:00+00:00,95.2453,85.2845,88.9863,90.7799,10.1715,78.1983,103.6846,266.4681
2024-05-08 01:02:00+00:00,95.4491,85.3718,88.952,89.0417,12.1439,80.3363,104.6242,266.5082
2024-05-08 01:03:00+00:00,95.5699,85.4132,89.1566,89.0593,13.7217,82.7903,104.7756,267.1207
2024-05-08 01:04:00+00:00,95.6939,85.5046,90.2303,90.267,13.9196,83.3812,104.5816,267.4056
2024-05-08 01:05:00+00:00,95.4614,85.4524,89.8114,89.7279,11.5654,80.0752,103.775,266.4655
2024-05-08 01:06:00+00:00,95.7365,85.5664,88.5226,88.4529,14.3301,83.5567,104.8163,266.8954
2024-05-08 01:07:00+00:00,95.7307,85.7323,90.5616,90.5659,13.7284,83.3383,104.2252,267.3746
2024-05-08 01:08:00+00:00,95.4449,85.558,91.5686,91.5659,11.5862,80.757,103.5215,267.2422
2024-05-08 01:09:00+00:00,95.4565,85.4244,89.1,89.1209,12.5496,80.9799,104.2043,266.0494
2024-05-08 01:10:00+00:00,95.576,85.5033,89.1781,89.1607,12.9713,81.3677,104.7143,266.4465
2024-05-08 01:11:00+00:00,95.5936,85.5146,89.7579,89.6935,12.9812,81.6671,104.3946,266.5385
2024-05-08 01:12:00+00:00,95.5936,85.5104,90.7192,90.6035,12.4369,81.3659,103.9406,266.7316
2024-05-08 01:13:00+00:00,95.7752,85.5889,89.8612,89.7301,14.9425,84.8179,104.4498,266.9533
2024-05-08 01:14:00+00:00,95.8161,85.7464,91.1421,91.0244,13.2748,83.2447,104.0085,267.8918
2024-05-08 01:15:00+00:00,95.73,85.6552,90.7817,90.982,11.4044,80.4992,103.8782,267.5543
2024-05-08 01:16:00+00:00,95.6029,85.6713,90.8475,90.8704,11.3723,80.4693,103.3101,266.8678
2024-05-08 01:17:00+00:00,95.5128,85.4225,89.3379,89.2897,11.8859,80.4609,103.9405,266.3952
2024-05-08 01:18:00+00:00,95.7763,85.6224,90.2851,90.2637,13.8297,83.4093,104.1026,266.8804
